职位,薪资,城市,地区,垃圾数据,公司,公司规模,招聘者,工作年限,学历
产品经理,26.5,深圳,南山区,科技园1-3年本科,腾讯,互联网已上市10000人以上,冯先生招聘者,1-3,本科
产品经理,52.5,深圳,南山区,蛇口5-10年本科,阿里云,互联网已上市1000-9999人,朱先生招聘者,5-10,本科
产品专员,12.5,深圳,宝安区,新安1-3年本科,中国平安普惠,互联网金融已上市10000人以上,李先生高级业务经理,1-3,本科
产品经理,10.0,深圳,南山区,科技园1-3年本科,天源迪科,通信/网络设备已上市1000-9999人,左女士招聘者,1-3,本科
产品经理,30.0,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,谢女士产品总监,3-5,本科
产品经理,22.5,深圳,南山区,华侨城3-5年本科,Ubox,互联网C轮1000-9999人,周女士HRM,3-5,本科
产品经理,10.5,深圳,龙岗区,平湖1-3年大专,通拓科技,电子商务已上市1000-9999人,吴女士招聘专员,1-3,大专
产品经理,21.5,深圳,南山区,科技园5-10年本科,平安科技,互联网不需要融资1000-9999人,朱先生资深产品经理,5-10,本科
产品经理,11.5,深圳,宝安区,石岩5-10年本科,畅想视界ThinkView,智能硬件未融资100-499人,胡先生招聘者,5-10,本科
产品经理,25.0,深圳,南山区,科技园3-5年本科,平安科技,互联网不需要融资1000-9999人,杨先生资深产品经理,3-5,本科
产品经理,22.5,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,张女士HR,3-5,本科
产品经理,8.5,深圳,龙岗区,龙岗中心城1-3年大专,腾晖科技,计算机软件已上市500-999人,黄先生腾晖科技HR,1-3,大专
产品专家/经理,22.5,深圳,南山区,南山中心5-10年本科,环球易购,电子商务已上市1000-9999人,杨女士高级招聘经理,5-10,本科
产品经理,18.5,深圳,南山区,科技园3-5年本科,好未来,互联网已上市10000人以上,陶女士HRBP,3-5,本科
产品专员,10.0,深圳,龙岗区,坂田1-3年本科,智神信息技术,智能硬件未融资1000-9999人,周先生招聘专员,1-3,本科
商业化产品经理,31.0,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,冯先生招聘者,3-5,本科
产品经理,16.0,深圳,南山区,科技园3-5年本科,和而泰,互联网未融资1000-9999人,肖女士HR,3-5,本科
产品经理,22.5,深圳,南山区,科技园3-5年本科,明源云,计算机软件已上市1000-9999人,王女士HRD,3-5,本科
产品经理,20.0,深圳,南山区,蛇口5-10年本科,招银云创,计算机软件不需要融资100-499人,李女士招聘经理,5-10,本科
产品经理,8.0,深圳,宝安区,石岩3-5年本科,畅想视界ThinkView,智能硬件未融资100-499人,胡先生招聘者,3-5,本科
产品经理,22.5,深圳,南山区,南山中心3-5年本科,环球易购,电子商务已上市1000-9999人,吴先生招聘者,3-5,本科
产品经理,20.0,深圳,深圳市,5-10年本科,科奈信,电子/半导体/集成电路不需要融资1000-9999人,林女士招聘专员,5-10,本科
产品总监,50.0,深圳,福田区,保税区5-10年本科,光汇石油集团,互联网已上市1000-9999人,陈女士HR,5-10,本科
中级产品经理,20.0,深圳,龙华区,民治3-5年大专,纵腾,互联网C轮1000-9999人,秦女士HRBP,3-5,大专
后台产品经理,21.5,深圳,南山区,科技园3-5年本科,好未来,互联网已上市10000人以上,陶女士HRBP,3-5,本科
产品经理,9.0,深圳,罗湖区,国贸1-3年本科,阿卡索外教网,在线教育C轮1000-9999人,HR,1-3,本科
产品经理,22.5,深圳,南山区,深圳湾3-5年本科,我来贷WeLab,互联网B轮500-999人,黄先生部门经理,3-5,本科
产品经理,15.0,深圳,南山区,科技园3-5年本科,星宝乐园,互联网已上市1000-9999人,彭女士HR,3-5,本科
产品助理,6.0,深圳,龙岗区,坂田应届生大专,泽汇科技,电子商务未融资1000-9999人,吴女士HR,应届生,大专
产品经理,22.5,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,李先生高级产品运营经理,3-5,本科
产品总监,34.0,深圳,南山区,科技园5-10年本科,和而泰,互联网未融资1000-9999人,杨先生猎聘经理,5-10,本科
产品专员,10.5,深圳,南山区,南头1-3年本科,环球易购,电子商务已上市1000-9999人,刘女士产品开发主管,1-3,本科
产品总监,15.0,深圳,宝安区,福永5-10年本科,迪丰能源,智能硬件不需要融资100-499人,杨先生招聘者,5-10,本科
产品运营,15.5,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,蔡女士HR,3-5,本科
产品VP,55.0,深圳,福田区,车公庙10年以上本科,义泰昌,生活服务A轮500-999人,柳先生招聘者,,本科
广告产品经理,22.5,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,张女士HR,3-5,本科
产品引入,17.5,深圳,南山区,科技园1-3年大专,值尚互动,游戏不需要融资100-499人,苏女士HR,1-3,大专
DevOps产品经理,30.0,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,戚女士项目经理,3-5,本科
产品经理,10.5,深圳,龙岗区,坂田3-5年大专,泽汇科技,电子商务未融资1000-9999人,吴女士HR,3-5,大专
产品经理,22.5,深圳,南山区,科技园3-5年本科,尊豪网络,互联网A轮100-499人,戚女士招聘者,3-5,本科
产品主管,12.5,深圳,南山区,科技园3-5年本科,深圳大树互娱,移动互联网A轮100-499人,林先生技术负责人,3-5,本科
产品总监,30.0,深圳,南山区,科技园5-10年本科,常旅相伴,互联网天使轮20-99人,张先生ceo,5-10,本科
产品经理,15.5,深圳,南山区,科技园3-5年本科,银河表计,智能硬件不需要融资100-499人,范女士HR,3-5,本科
产品经理,9.0,深圳,宝安区,沙井1-3年本科,深圳市尼路电子科...,贸易/进出口未融资100-499人,马先生招聘者,1-3,本科
产品经理,20.0,深圳,南山区,科技园3-5年本科,正通汽车,4S店/后市场已上市1000-9999人,洪女士HR,3-5,本科
产品经理,10.0,深圳,龙华区,民治1-3年大专,纵腾,互联网C轮1000-9999人,秦女士HRBP,1-3,大专
产品经理,15.0,深圳,福田区,车公庙1-3年大专,一号互联,企业服务A轮100-499人,陈先生副总裁,1-3,大专
产品经理,17.5,深圳,南山区,科技园5-10年本科,土巴兔,互联网C轮1000-9999人,张女士hrbp,5-10,本科
产品经理,18.0,深圳,南山区,南山中心3-5年本科,环球易购,电子商务已上市1000-9999人,何先生运维专家,3-5,本科
客服产品经理,15.0,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,张先生HR经理,3-5,本科
产品经理,16.5,深圳,南山区,科技园3-5年本科,随手科技,互联网C轮1000-9999人,冯女士HR,3-5,本科
高级产品经理,30.0,深圳,宝安区,福永5-10年本科,跨越速运,物流/仓储A轮10000人以上,柯女士招聘者,5-10,本科
产品经理,12.5,深圳,福田区,莲花5-10年本科,金融资产交易所有限责任公司,投资/融资不需要融资500-999人,张女士HRBP,5-10,本科
AI产品经理,22.5,深圳,福田区,保税区3-5年本科,金服银行科技中心,互联网金融已上市10000人以上,杨女士HRBP,3-5,本科
产品总监,35.0,深圳,南山区,科技园5-10年本科,随手科技,互联网C轮1000-9999人,易女士HRBP,5-10,本科
产品经理,20.0,深圳,宝安区,西乡3-5年本科,东峰盛科技,互联网未融资100-499人,范先生总经理,3-5,本科
产品经理,25.0,深圳,福田区,保税区5-10年本科,光汇石油集团,互联网已上市1000-9999人,苏女士招聘主管,5-10,本科
APP产品经理,20.0,深圳,深圳市,5-10年本科,三世缘,电子商务不需要融资100-499人,邱先生招聘者,5-10,本科
产品经理,22.5,深圳,福田区,梅林3-5年本科,货拉拉科技,互联网D轮及以上1000-9999人,向先生CTO,3-5,本科
高级产品经理,25.0,深圳,南山区,科技园5-10年本科,万兴科技,计算机软件已上市500-999人,刘先生事业部总监,5-10,本科
穿戴软件产品经理,22.5,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,邓先生招聘经理,3-5,本科
软件产品经理(003541),30.0,深圳,福田区,华强南3-5年本科,vivo,移动互联网不需要融资10000人以上,郭女士招聘经理,3-5,本科
数据产品经理,45.0,深圳,宝安区,新安3-5年本科,vivo,移动互联网不需要融资10000人以上,邓先生招聘者,3-5,本科
产品总监,35.0,深圳,龙岗区,坂田5-10年本科,Baseus,移动互联网不需要融资500-999人,郑先生HR,5-10,本科
产品经理,20.0,深圳,宝安区,新安3-5年本科,几米,通信/网络设备不需要融资1000-9999人,刘先生招聘专员,3-5,本科
产品经理,17.5,深圳,罗湖区,国贸3-5年本科,阿卡索外教网,在线教育C轮1000-9999人,郭女士人事招聘,3-5,本科
产品经理,12.5,深圳,福田区,岗厦3-5年硕士,愉乐未来,贸易/进出口未融资20-99人,卞女士HR,3-5,硕士
产品经理/YX,30.0,深圳,福田区,香蜜湖3-5年本科,深圳云天励飞,移动互联网B轮500-999人,周先生HRM,3-5,本科
产品助理,5.5,深圳,龙岗区,坂田经验不限本科,泽汇科技,电子商务未融资1000-9999人,李女士招聘者,经验不限,本科
产品开发,7.5,深圳,龙华区,龙华1-3年大专,艾姆诗,贸易/进出口未融资1000-9999人,刘女士HRBP,1-3,大专
