职位,薪资,城市,地区,学历,公司,公司规模,招聘者
软件测试工程师,12.5,深圳,南山区,龙华1-3年本科,道通科技,智能硬件不需要融资1000-9999人,唐女士招聘顾问
软件测试工程师,11.5,深圳,南山区,科技园3-5年本科,软通动力,计算机软件已上市10000人以上,胡先生HR
软件测试工程师,12.5,深圳,福田区,香蜜湖3-5年本科,博智林机器人,计算机软件不需要融资1000-9999人,江女士HR
软件测试工程师,17.0,深圳,南山区,科技园经验不限本科,TP-LINK,通信/网络设备不需要融资1000-9999人,马女士招聘专员
软件测试工程师,12.5,深圳,福田区,保税区3-5年本科,新致软件,计算机软件D轮及以上1000-9999人,侯先生HR
软件测试工程师,13.5,深圳,福田区,保税区1-3年本科,雁联技术,计算机软件不需要融资1000-9999人,曹女士招聘专员
软件测试工程师,12.0,深圳,龙华区,龙华3-5年本科,银盛支付,互联网不需要融资1000-9999人,周先生HR
软件测试工程师,15.0,深圳,福田区,岗厦3-5年本科,国双科技,互联网已上市1000-9999人,毕女士招聘主管
软件测试工程师,9.5,深圳,福田区,莲花3-5年本科,新致软件,计算机软件D轮及以上1000-9999人,彭女士招聘者
软件测试工程师,11.5,深圳,南山区,科技园3-5年本科,拓保软件,互联网金融未融资1000-9999人,李女士招聘专员
软件测试工程师,15.5,深圳,龙岗区,坂田3-5年本科,中软国际,计算机软件已上市10000人以上,王先生招聘顾问
软件测试工程师,15.0,深圳,南山区,科技园3-5年本科,随手科技,互联网C轮1000-9999人,易女士HRBP
软件测试工程师,12.0,深圳,南山区,科技园3-5年本科,银信科技,计算机软件已上市1000-9999人,刘女士招聘专员
软件测试工程师,8.0,深圳,罗湖区,国贸1-3年大专,阿卡索外教网,在线教育C轮1000-9999人,詹女士HR
软件测试工程师,9.0,深圳,南山区,科技园3-5年本科,安健科技/DR医疗,医疗健康不需要融资500-999人,任女士人事
软件测试工程师,11.5,深圳,福田区,保税区3-5年本科,信雅达软件,计算机软件已上市1000-9999人,黄先生招聘专员
软件测试工程师,12.5,深圳,福田区,保税区1-3年本科,雁联技术,计算机软件不需要融资1000-9999人,梁女士招聘专员
急聘软件测试工程师,11.0,深圳,福田区,莲花1-3年本科,博悦科创,企业服务未融资500-999人,郑女士主管
软件测试工程师,12.5,深圳,南山区,科技园经验不限本科,柔宇科技,智能硬件D轮及以上1000-9999人,刘先生HRBP
软件测试工程师,7.5,深圳,龙岗区,龙岗中心城1-3年本科,博科信息,计算机软件100-499人,寇女士招聘者
软件测试工程师,11.5,深圳,福田区,沙头1-3年本科,LocalGravity,咨询A轮100-499人,余女士招聘主管
软件测试工程师,8.0,深圳,福田区,保税区1-3年本科,大连信雅达,计算机软件未融资500-999人,王女士招聘专员
软件测试工程师,13.0,深圳,福田区,岗厦3-5年大专,博彦科技,计算机软件已上市1000-9999人,梁女士HR
软件测试工程师（性能）,15.0,深圳,宝安区,西乡3-5年大专,递四方,计算机软件D轮及以上1000-9999人,黄先生HRBP
软件测试工程师,12.5,深圳,南山区,科技园3-5年本科,和而泰,互联网已上市1000-9999人,肖女士HR
软件测试工程师,12.5,深圳,宝安区,新安3-5年本科,融昕医疗,医疗健康100-499人,张先生人力
软件测试工程师,8.5,深圳,南山区,西丽1-3年大专,深圳市景阳科技股...,互联网未融资500-999人,杨女士招聘专员
软件测试工程师,10.0,深圳,南山区,南头应届生本科,青葡萄科技,计算机软件A轮100-499人,姚女士人事主管
软件测试工程师,9.0,深圳,福田区,购物公园3-5年大专,浪潮集团,计算机软件已上市10000人以上,张女士人事专员
软件测试工程师,14.5,深圳,福田区,购物公园3-5年本科,雁联技术,计算机软件不需要融资1000-9999人,杨先生招聘专员
软件测试工程师,11.5,深圳,南山区,南头1-3年本科,成都迈思创智科技公司,计算机软件不需要融资500-999人,漆先生HR
软件测试工程师,6.5,深圳,宝安区,松岗1-3年大专,友宏科技,智能硬件不需要融资100-499人,颜先生HR
软件测试工程师,9.5,深圳,南山区,科技园经验不限本科,汇合发展,企业服务不需要融资10000人以上,刘先生高级招聘专员
软件测试工程师,12.5,深圳,福田区,香蜜湖3-5年大专,紫川软件,计算机软件未融资500-999人,姚女士HR
软件测试工程师,7.0,深圳,南山区,科技园经验不限本科,潮流网络,通信/网络设备不需要融资100-499人,招聘专员
软件测试工程师,14.5,深圳,南山区,科技园3-5年大专,亿达信息,计算机软件不需要融资1000-9999人,何女士招聘者
软件测试工程师,17.5,深圳,3-5年大专,深圳亿企赢,计算机服务不需要融资100-499人,徐先生人力专员
软件测试工程师,9.0,深圳,南山区,蛇口1-3年大专,超盟金服,移动互联网A轮1000-9999人,江女士HR
软件测试工程师,8.0,深圳,南山区,科技园3-5年本科,阿巴町,智能硬件B轮100-499人,陈先生产品经理
软件测试工程师,10.5,深圳,南山区,科技园3-5年大专,神州信息,企业服务已上市1000-9999人,李女士招聘专员
软件测试工程师,15.0,深圳,龙岗区,坂田3-5年本科,中软国际,计算机软件已上市10000人以上,蔡女士HR
软件测试工程师,11.0,深圳,南山区,科技园3-5年本科,银河表计,智能硬件不需要融资100-499人,范女士HR
软件测试工程师,11.5,深圳,南山区,科技园3-5年本科,深圳优讯通,计算机软件未融资20-99人,王先生招聘主管
软件测试工程师,10.5,深圳,龙华区,龙华3-5年本科,富士康,互联网已上市10000人以上,刘先生測試主管
软件测试工程师,6.5,深圳,南山区,华侨城1-3年本科,媒讯,互联网A轮100-499人,刘女士人事主管
软件测试工程师,10.5,深圳,福田区,会展中心3-5年本科,雁联技术,计算机软件不需要融资1000-9999人,刘女士招聘专员
软件测试工程师,7.0,深圳,龙华区,龙华1-3年本科,富泰华工业,互联网已上市10000人以上,周女士招聘者
软件测试工程师,10.5,深圳,南山区,科技园1-3年本科,银信科技,计算机软件已上市1000-9999人,王女士招聘专员
软件测试工程师,13.5,深圳,龙岗区,坂田3-5年本科,零壹互联,移动互联网B轮100-499人,HR
Windows软件测试工程师,8.0,深圳,南山区,科技园1-3年本科,企顺,计算机服务未融资100-499人,魏女士招聘专员
软件测试工程师,9.5,深圳,龙岗区,坂田3-5年大专,店小秘,互联网20-99人,杨先生市场经理
高级软件测试工程师,22.5,深圳,福田区,莲花3-5年本科,陆金所,互联网金融C轮1000-9999人,林先生招聘者
软件测试工程师,10.5,深圳,福田区,景田1-3年本科,康拓普,计算机软件不需要融资1000-9999人,陈女士HR
软件测试工程师,18.0,深圳,南山区,科技园经验不限本科,乐信集团,移动互联网已上市1000-9999人,王先生测试主管
银行软件测试工程师,9.5,深圳,南山区,科技园3-5年大专,神州信息,企业服务已上市1000-9999人,李女士招聘专员
软件测试工程师（通信协议）,22.5,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,潘先生招聘经理
软件测试工程师,17.5,深圳,南山区,科技园3-5年本科,安田,互联网金融不需要融资100-499人,张女士人事行政专员
软件测试工程师,8.5,深圳,南山区,西丽1-3年本科,帝迈生物,医疗健康B轮500-999人,李女士招聘专员
软件测试工程师,11.5,深圳,南山区,科技园3-5年本科,拓保软件,计算机软件未融资1000-9999人,唐先生HR
